,date,home_team,score,away_team
2080,26-08-2023,Ross County,0 - 2,Rangers
2081,03-09-2023,Rangers,0 - 1,Celtic
2082,16-09-2023,St Johnstone,0 - 2,Rangers
2083,24-09-2023,Rangers,1 - 0,Motherwell
2084,30-09-2023,Rangers,1 - 3,Aberdeen
2085,08-10-2023,St Mirren,0 - 3,Rangers
2086,21-10-2023,Rangers,4 - 0,Hibernian
2087,29-10-2023,Rangers,2 - 1,Hearts
2088,01-11-2023,Dundee,0 - 5,Rangers
2089,12-11-2023,Livingston,0 - 2,Rangers
2090,26-11-2023,Aberdeen,1 - 1,Rangers
2091,03-12-2023,Rangers,2 - 0,St Mirren
2092,06-12-2023,Hearts,0 - 1,Rangers
2093,09-12-2023,Rangers,3 - 1,Dundee
2094,20-12-2023,Rangers,2 - 0,St Johnstone
2095,24-12-2023,Motherwell,0 - 2,Rangers
2096,30-12-2023,Celtic,2 - 1,Rangers
2097,02-01-2024,Rangers,3 - 1,Kilmarnock
2098,24-01-2024,Hibernian,? - ?,Rangers
2099,05-08-2023,Celtic,4 - 2,Ross County
2100,12-08-2023,Ross County,2 - 0,St Johnstone
2101,26-08-2023,Ross County,0 - 2,Rangers
2102,02-09-2023,Kilmarnock,0 - 1,Ross County
2103,16-09-2023,Ross County,1 - 1,Livingston
2104,24-09-2023,Aberdeen,4 - 0,Ross County
2105,30-09-2023,Ross County,0 - 1,Hearts
2106,24-10-2023,Dundee,0 - 0,Ross County
2107,28-10-2023,Motherwell,3 - 3,Ross County
2108,31-10-2023,Hibernian,2 - 2,Ross County
2109,04-11-2023,Ross County,0 - 3,Celtic
2110,11-11-2023,St Johnstone,1 - 0,Ross County
2111,25-11-2023,Ross County,0 - 0,Kilmarnock
2112,28-11-2023,Ross County,1 - 0,St Mirren
2113,05-12-2023,Ross County,3 - 0,Motherwell
2114,09-12-2023,St Mirren,2 - 0,Ross County
2115,16-12-2023,Ross County,0 - 1,Dundee
2116,30-12-2023,Hearts,2 - 2,Ross County
2117,02-01-2024,Ross County,0 - 3,Aberdeen
2118,27-01-2024,Celtic,? - ?,Ross County
2119,05-08-2023,St Johnstone,0 - 2,Hearts
2120,12-08-2023,Ross County,2 - 0,St Johnstone
2121,26-08-2023,Celtic,0 - 0,St Johnstone
2122,02-09-2023,St Johnstone,2 - 2,Dundee
2123,16-09-2023,St Johnstone,0 - 2,Rangers
2124,23-09-2023,Hibernian,2 - 0,St Johnstone
2125,30-09-2023,St Johnstone,1 - 1,Livingston
2126,08-10-2023,Aberdeen,0 - 0,St Johnstone
2127,28-10-2023,St Mirren,4 - 0,St Johnstone
2128,01-11-2023,St Johnstone,2 - 1,Kilmarnock
2129,07-11-2023,St Johnstone,2 - 2,Motherwell
2130,11-11-2023,St Johnstone,1 - 0,Ross County
2131,25-11-2023,Hearts,1 - 0,St Johnstone
2132,03-12-2023,St Johnstone,1 - 3,Celtic
2133,06-12-2023,St Johnstone,1 - 0,St Mirren
2134,09-12-2023,Motherwell,1 - 1,St Johnstone
2135,16-12-2023,St Johnstone,1 - 0,Hibernian
2136,20-12-2023,Rangers,2 - 0,St Johnstone
2137,23-12-2023,Kilmarnock,2 - 1,St Johnstone
2138,27-12-2023,Livingston,0 - 0,St Johnstone
2139,24-01-2024,St Johnstone,? - ?,Aberdeen
2140,06-08-2023,Hibernian,2 - 3,St Mirren
2141,12-08-2023,St Mirren,2 - 1,Dundee
2142,27-08-2023,St Mirren,2 - 2,Aberdeen
2143,02-09-2023,Livingston,1 - 1,St Mirren
2144,16-09-2023,Motherwell,0 - 1,St Mirren
2145,23-09-2023,St Mirren,1 - 0,Hearts
2146,30-09-2023,Kilmarnock,1 - 1,St Mirren
2147,08-10-2023,St Mirren,0 - 3,Rangers
2148,28-10-2023,St Mirren,4 - 0,St Johnstone
2149,01-11-2023,Celtic,2 - 1,St Mirren
2150,08-11-2023,St Mirren,2 - 2,Hibernian
2151,11-11-2023,Dundee,4 - 0,St Mirren
2152,25-11-2023,St Mirren,1 - 0,Livingston
2153,28-11-2023,Ross County,1 - 0,St Mirren
2154,03-12-2023,Rangers,2 - 0,St Mirren
2155,06-12-2023,St Johnstone,1 - 0,St Mirren
2156,09-12-2023,St Mirren,2 - 0,Ross County
2157,16-12-2023,St Mirren,0 - 0,Motherwell
2158,23-12-2023,Hearts,2 - 0,St Mirren
2159,27-12-2023,St Mirren,0 - 1,Kilmarnock
2160,30-12-2023,Aberdeen,0 - 3,St Mirren
2161,02-01-2024,St Mirren,0 - 3,Celtic
2162,13-08-2023,AZ Alkmaar,5 - 1,GO Ahead Eagles
2163,20-08-2023,Waalwijk,1 - 3,AZ Alkmaar
2164,03-09-2023,Vitesse,0 - 2,AZ Alkmaar
2165,17-09-2023,AZ Alkmaar,2 - 0,Sparta Rotterdam
2166,24-09-2023,Zwolle,0 - 3,AZ Alkmaar
2167,28-09-2023,AZ Alkmaar,1 - 1,Heracles
2168,01-10-2023,AZ Alkmaar,4 - 0,Fortuna Sittard
2169,08-10-2023,Ajax,1 - 2,AZ Alkmaar
2170,21-10-2023,AZ Alkmaar,3 - 0,Heerenveen
2171,04-11-2023,Excelsior,1 - 1,AZ Alkmaar
2172,12-11-2023,Feyenoord,1 - 0,AZ Alkmaar
2173,26-11-2023,AZ Alkmaar,3 - 0,FC Volendam
2174,03-12-2023,Utrecht,1 - 1,AZ Alkmaar
2175,06-12-2023,AZ Alkmaar,1 - 2,NEC Nijmegen
2176,09-12-2023,AZ Alkmaar,4 - 1,Almere City FC
2177,17-12-2023,AZ Alkmaar,0 - 4,PSV Eindhoven
2178,13-01-2024,Twente,2 - 1,AZ Alkmaar
2179,20-01-2024,AZ Alkmaar,? - ?,Zwolle
2180,12-08-2023,Ajax,4 - 1,Heracles
2181,19-08-2023,Excelsior,2 - 2,Ajax
2182,03-09-2023,Fortuna Sittard,0 - 0,Ajax
2183,17-09-2023,Twente,3 - 1,Ajax
2184,27-09-2023,Ajax,0 - 4,Feyenoord
2185,08-10-2023,Ajax,1 - 2,AZ Alkmaar
2186,22-10-2023,Utrecht,4 - 3,Ajax
2187,29-10-2023,PSV Eindhoven,5 - 2,Ajax
2188,02-11-2023,Ajax,2 - 0,FC Volendam
2189,05-11-2023,Ajax,4 - 1,Heerenveen
2190,12-11-2023,Almere City FC,2 - 2,Ajax
2191,25-11-2023,Ajax,5 - 0,Vitesse
2192,03-12-2023,NEC Nijmegen,1 - 2,Ajax
2193,06-12-2023,Waalwijk,2 - 3,Ajax
2194,09-12-2023,Ajax,2 - 1,Sparta Rotterdam
2195,17-12-2023,Ajax,2 - 2,Zwolle
2196,14-01-2024,GO Ahead Eagles,2 - 3,Ajax
2197,21-01-2024,Ajax,? - ?,Waalwijk
2198,13-08-2023,Almere City FC,1 - 4,Twente
2199,19-08-2023,Fortuna Sittard,2 - 1,Almere City FC
2200,27-08-2023,Feyenoord,6 - 1,Almere City FC
2201,02-09-2023,Almere City FC,1 - 2,Zwolle
2202,17-09-2023,Excelsior,0 - 0,Almere City FC
2203,23-09-2023,Almere City FC,0 - 4,PSV Eindhoven
2204,30-09-2023,Utrecht,0 - 2,Almere City FC
2205,07-10-2023,Almere City FC,1 - 0,Waalwijk
2206,21-10-2023,NEC Nijmegen,1 - 1,Almere City FC
2207,28-10-2023,Almere City FC,0 - 0,GO Ahead Eagles
2208,05-11-2023,Sparta Rotterdam,1 - 2,Almere City FC
2209,12-11-2023,Almere City FC,2 - 2,Ajax
2210,26-11-2023,Almere City FC,0 - 5,Heracles
2211,01-12-2023,Heerenveen,3 - 0,Almere City FC
2212,09-12-2023,AZ Alkmaar,4 - 1,Almere City FC
2213,17-12-2023,Almere City FC,5 - 0,Vitesse
2214,14-01-2024,FC Volendam,0 - 1,Almere City FC
2215,20-01-2024,Almere City FC,? - ?,Fortuna Sittard
2216,13-08-2023,NEC Nijmegen,3 - 4,Excelsior
2217,19-08-2023,Excelsior,2 - 2,Ajax
2218,26-08-2023,Excelsior,2 - 2,Fortuna Sittard
2219,02-09-2023,Heracles,3 - 1,Excelsior
2220,17-09-2023,Excelsior,0 - 0,Almere City FC
2221,23-09-2023,Heerenveen,0 - 3,Excelsior
2222,01-10-2023,Excelsior,2 - 1,Sparta Rotterdam
2223,07-10-2023,Vitesse,0 - 0,Excelsior
2224,22-10-2023,Excelsior,2 - 4,Zwolle
2225,29-10-2023,FC Volendam,3 - 1,Excelsior
2226,04-11-2023,Excelsior,1 - 1,AZ Alkmaar
2227,12-11-2023,Utrecht,2 - 2,Excelsior
2228,25-11-2023,Excelsior,2 - 4,Feyenoord
2229,02-12-2023,Waalwijk,2 - 2,Excelsior
2230,08-12-2023,Twente,4 - 2,Excelsior
2231,16-12-2023,Excelsior,1 - 1,GO Ahead Eagles
2232,13-01-2024,PSV Eindhoven,3 - 1,Excelsior
2233,19-01-2024,Excelsior,? - ?,Heerenveen
2234,11-08-2023,FC Volendam,1 - 2,Vitesse
2235,19-08-2023,GO Ahead Eagles,4 - 1,FC Volendam
2236,03-09-2023,FC Volendam,0 - 2,Twente
2237,16-09-2023,Fortuna Sittard,3 - 1,FC Volendam
2238,23-09-2023,FC Volendam,2 - 2,Heracles
2239,30-09-2023,PSV Eindhoven,3 - 1,FC Volendam
2240,06-10-2023,FC Volendam,1 - 0,Utrecht
2241,21-10-2023,Waalwijk,2 - 1,FC Volendam
2242,29-10-2023,FC Volendam,3 - 1,Excelsior
2243,02-11-2023,Ajax,2 - 0,FC Volendam
2244,05-11-2023,NEC Nijmegen,3 - 3,FC Volendam
2245,12-11-2023,FC Volendam,1 - 4,Sparta Rotterdam
2246,26-11-2023,AZ Alkmaar,3 - 0,FC Volendam
2247,02-12-2023,FC Volendam,0 - 5,Zwolle
2248,07-12-2023,Feyenoord,3 - 1,FC Volendam
2249,16-12-2023,Heerenveen,1 - 2,FC Volendam
2250,14-01-2024,FC Volendam,0 - 1,Almere City FC
2251,20-01-2024,Heracles,? - ?,FC Volendam
2252,13-08-2023,Feyenoord,0 - 0,Fortuna Sittard
2253,20-08-2023,Sparta Rotterdam,2 - 2,Feyenoord
2254,27-08-2023,Feyenoord,6 - 1,Almere City FC
2255,03-09-2023,Utrecht,1 - 5,Feyenoord
2256,16-09-2023,Feyenoord,6 - 1,Heerenveen
2257,27-09-2023,Ajax,0 - 4,Feyenoord
2258,30-09-2023,Feyenoord,3 - 1,GO Ahead Eagles
2259,08-10-2023,Zwolle,0 - 2,Feyenoord
2260,21-10-2023,Feyenoord,4 - 0,Vitesse
2261,29-10-2023,Twente,2 - 1,Feyenoord
2262,04-11-2023,Waalwijk,1 - 2,Feyenoord
2263,12-11-2023,Feyenoord,1 - 0,AZ Alkmaar
2264,25-11-2023,Excelsior,2 - 4,Feyenoord
2265,03-12-2023,Feyenoord,1 - 2,PSV Eindhoven
2266,07-12-2023,Feyenoord,3 - 1,FC Volendam
2267,17-12-2023,Heracles,0 - 4,Feyenoord
2268,14-01-2024,Feyenoord,2 - 2,NEC Nijmegen
2269,21-01-2024,Vitesse,? - ?,Feyenoord
2270,13-08-2023,Feyenoord,0 - 0,Fortuna Sittard
2271,19-08-2023,Fortuna Sittard,2 - 1,Almere City FC
2272,26-08-2023,Excelsior,2 - 2,Fortuna Sittard
2273,03-09-2023,Fortuna Sittard,0 - 0,Ajax
2274,16-09-2023,Fortuna Sittard,3 - 1,FC Volendam
2275,22-09-2023,GO Ahead Eagles,3 - 0,Fortuna Sittard
2276,01-10-2023,AZ Alkmaar,4 - 0,Fortuna Sittard
2277,08-10-2023,Fortuna Sittard,0 - 3,Twente
2278,21-10-2023,PSV Eindhoven,3 - 1,Fortuna Sittard
2279,28-10-2023,Fortuna Sittard,0 - 0,Utrecht
2280,05-11-2023,Zwolle,2 - 0,Fortuna Sittard
2281,10-11-2023,Fortuna Sittard,4 - 1,Heracles
2282,25-11-2023,Heerenveen,3 - 0,Fortuna Sittard
2283,02-12-2023,Fortuna Sittard,3 - 1,Vitesse
2284,10-12-2023,Fortuna Sittard,1 - 0,Waalwijk
2285,15-12-2023,NEC Nijmegen,4 - 1,Fortuna Sittard
2286,13-01-2024,Fortuna Sittard,0 - 2,Sparta Rotterdam
2287,20-01-2024,Almere City FC,? - ?,Fortuna Sittard
2288,13-08-2023,AZ Alkmaar,5 - 1,GO Ahead Eagles
2289,19-08-2023,GO Ahead Eagles,4 - 1,FC Volendam
2290,02-09-2023,GO Ahead Eagles,3 - 2,Heerenveen
2291,17-09-2023,Zwolle,1 - 1,GO Ahead Eagles
2292,22-09-2023,GO Ahead Eagles,3 - 0,Fortuna Sittard
2293,27-09-2023,PSV Eindhoven,3 - 0,GO Ahead Eagles
2294,30-09-2023,Feyenoord,3 - 1,GO Ahead Eagles
2295,07-10-2023,GO Ahead Eagles,4 - 0,Heracles
2296,22-10-2023,GO Ahead Eagles,0 - 0,Sparta Rotterdam
2297,28-10-2023,Almere City FC,0 - 0,GO Ahead Eagles
2298,04-11-2023,GO Ahead Eagles,5 - 1,Vitesse
2299,11-11-2023,Waalwijk,0 - 1,GO Ahead Eagles
2300,26-11-2023,NEC Nijmegen,1 - 1,GO Ahead Eagles
2301,03-12-2023,GO Ahead Eagles,1 - 3,Twente
2302,10-12-2023,GO Ahead Eagles,0 - 2,Utrecht
2303,16-12-2023,Excelsior,1 - 1,GO Ahead Eagles
2304,14-01-2024,GO Ahead Eagles,2 - 3,Ajax
2305,21-01-2024,Sparta Rotterdam,? - ?,GO Ahead Eagles
2306,12-08-2023,Heerenveen,3 - 1,Waalwijk
2307,20-08-2023,Utrecht,0 - 2,Heerenveen
2308,27-08-2023,Heerenveen,1 - 3,Sparta Rotterdam
2309,02-09-2023,GO Ahead Eagles,3 - 2,Heerenveen
2310,16-09-2023,Feyenoord,6 - 1,Heerenveen
2311,23-09-2023,Heerenveen,0 - 3,Excelsior
2312,30-09-2023,Twente,1 - 0,Heerenveen
2313,07-10-2023,Heerenveen,1 - 1,NEC Nijmegen
2314,21-10-2023,AZ Alkmaar,3 - 0,Heerenveen
2315,28-10-2023,Heerenveen,3 - 0,Heracles
2316,05-11-2023,Ajax,4 - 1,Heerenveen
2317,11-11-2023,Vitesse,1 - 3,Heerenveen
2318,25-11-2023,Heerenveen,3 - 0,Fortuna Sittard
2319,01-12-2023,Heerenveen,3 - 0,Almere City FC
2320,07-12-2023,PSV Eindhoven,2 - 0,Heerenveen
2321,16-12-2023,Heerenveen,1 - 2,FC Volendam
2322,13-01-2024,Zwolle,2 - 2,Heerenveen
2323,19-01-2024,Excelsior,? - ?,Heerenveen
2324,12-08-2023,Ajax,4 - 1,Heracles
2325,18-08-2023,Heracles,2 - 1,NEC Nijmegen
2326,02-09-2023,Heracles,3 - 1,Excelsior
2327,16-09-2023,Heracles,1 - 3,Utrecht
2328,23-09-2023,FC Volendam,2 - 2,Heracles
2329,28-09-2023,AZ Alkmaar,1 - 1,Heracles
2330,01-10-2023,Heracles,2 - 1,Zwolle
2331,07-10-2023,GO Ahead Eagles,4 - 0,Heracles
2332,22-10-2023,Heracles,2 - 2,Twente
2333,28-10-2023,Heerenveen,3 - 0,Heracles
2334,04-11-2023,Heracles,0 - 6,PSV Eindhoven
2335,10-11-2023,Fortuna Sittard,4 - 1,Heracles
2336,26-11-2023,Almere City FC,0 - 5,Heracles
2337,02-12-2023,Heracles,0 - 1,Sparta Rotterdam
2338,10-12-2023,Vitesse,2 - 0,Heracles
2339,17-12-2023,Heracles,0 - 4,Feyenoord
2340,12-01-2024,Waalwijk,1 - 2,Heracles
2341,20-01-2024,Heracles,? - ?,FC Volendam
2342,13-08-2023,NEC Nijmegen,3 - 4,Excelsior
2343,18-08-2023,Heracles,2 - 1,NEC Nijmegen
2344,26-08-2023,NEC Nijmegen,3 - 0,Waalwijk
2345,01-09-2023,Sparta Rotterdam,1 - 1,NEC Nijmegen
2346,16-09-2023,PSV Eindhoven,4 - 0,NEC Nijmegen
2347,23-09-2023,NEC Nijmegen,3 - 0,Utrecht
2348,01-10-2023,NEC Nijmegen,1 - 3,Vitesse
2349,07-10-2023,Heerenveen,1 - 1,NEC Nijmegen
2350,21-10-2023,NEC Nijmegen,1 - 1,Almere City FC
2351,05-11-2023,NEC Nijmegen,3 - 3,FC Volendam
2352,11-11-2023,Twente,3 - 3,NEC Nijmegen
2353,26-11-2023,NEC Nijmegen,1 - 1,GO Ahead Eagles
2354,03-12-2023,NEC Nijmegen,1 - 2,Ajax
2355,06-12-2023,AZ Alkmaar,1 - 2,NEC Nijmegen
2356,09-12-2023,Zwolle,1 - 3,NEC Nijmegen
2357,15-12-2023,NEC Nijmegen,4 - 1,Fortuna Sittard
2358,14-01-2024,Feyenoord,2 - 2,NEC Nijmegen
2359,20-01-2024,NEC Nijmegen,? - ?,Twente
2360,12-08-2023,PSV Eindhoven,2 - 0,Utrecht
2361,19-08-2023,Vitesse,1 - 3,PSV Eindhoven
2362,02-09-2023,Waalwijk,0 - 4,PSV Eindhoven
2363,16-09-2023,PSV Eindhoven,4 - 0,NEC Nijmegen
2364,23-09-2023,Almere City FC,0 - 4,PSV Eindhoven
2365,27-09-2023,PSV Eindhoven,3 - 0,GO Ahead Eagles
2366,30-09-2023,PSV Eindhoven,3 - 1,FC Volendam
2367,08-10-2023,Sparta Rotterdam,0 - 4,PSV Eindhoven
2368,21-10-2023,PSV Eindhoven,3 - 1,Fortuna Sittard
2369,29-10-2023,PSV Eindhoven,5 - 2,Ajax
2370,04-11-2023,Heracles,0 - 6,PSV Eindhoven
2371,12-11-2023,PSV Eindhoven,4 - 0,Zwolle
2372,25-11-2023,Twente,0 - 3,PSV Eindhoven
2373,03-12-2023,Feyenoord,1 - 2,PSV Eindhoven
2374,07-12-2023,PSV Eindhoven,2 - 0,Heerenveen
2375,17-12-2023,AZ Alkmaar,0 - 4,PSV Eindhoven
2376,13-01-2024,PSV Eindhoven,3 - 1,Excelsior
2377,21-01-2024,Utrecht,? - ?,PSV Eindhoven
2378,12-08-2023,Zwolle,1 - 2,Sparta Rotterdam
2379,20-08-2023,Sparta Rotterdam,2 - 2,Feyenoord
2380,27-08-2023,Heerenveen,1 - 3,Sparta Rotterdam
2381,01-09-2023,Sparta Rotterdam,1 - 1,NEC Nijmegen
2382,17-09-2023,AZ Alkmaar,2 - 0,Sparta Rotterdam
2383,24-09-2023,Sparta Rotterdam,1 - 0,Vitesse
2384,01-10-2023,Excelsior,2 - 1,Sparta Rotterdam
2385,08-10-2023,Sparta Rotterdam,0 - 4,PSV Eindhoven
2386,22-10-2023,GO Ahead Eagles,0 - 0,Sparta Rotterdam
2387,28-10-2023,Sparta Rotterdam,2 - 0,Waalwijk
2388,05-11-2023,Sparta Rotterdam,1 - 2,Almere City FC
2389,12-11-2023,FC Volendam,1 - 4,Sparta Rotterdam
2390,26-11-2023,Sparta Rotterdam,1 - 2,Utrecht
2391,02-12-2023,Heracles,0 - 1,Sparta Rotterdam
2392,09-12-2023,Ajax,2 - 1,Sparta Rotterdam
2393,17-12-2023,Sparta Rotterdam,2 - 2,Twente
2394,13-01-2024,Fortuna Sittard,0 - 2,Sparta Rotterdam
2395,21-01-2024,Sparta Rotterdam,? - ?,GO Ahead Eagles
2396,13-08-2023,Almere City FC,1 - 4,Twente
2397,20-08-2023,Twente,3 - 1,Zwolle
2398,03-09-2023,FC Volendam,0 - 2,Twente
2399,17-09-2023,Twente,3 - 1,Ajax
2400,24-09-2023,Waalwijk,1 - 0,Twente
2401,27-09-2023,Twente,1 - 0,Vitesse
2402,30-09-2023,Twente,1 - 0,Heerenveen
2403,08-10-2023,Fortuna Sittard,0 - 3,Twente
2404,22-10-2023,Heracles,2 - 2,Twente
2405,29-10-2023,Twente,2 - 1,Feyenoord
2406,05-11-2023,Utrecht,1 - 1,Twente
2407,11-11-2023,Twente,3 - 3,NEC Nijmegen
2408,25-11-2023,Twente,0 - 3,PSV Eindhoven
2409,03-12-2023,GO Ahead Eagles,1 - 3,Twente
2410,08-12-2023,Twente,4 - 2,Excelsior
2411,17-12-2023,Sparta Rotterdam,2 - 2,Twente
2412,13-01-2024,Twente,2 - 1,AZ Alkmaar
2413,20-01-2024,NEC Nijmegen,? - ?,Twente
2414,12-08-2023,PSV Eindhoven,2 - 0,Utrecht
2415,20-08-2023,Utrecht,0 - 2,Heerenveen
2416,27-08-2023,Zwolle,1 - 0,Utrecht
2417,03-09-2023,Utrecht,1 - 5,Feyenoord
2418,16-09-2023,Heracles,1 - 3,Utrecht
2419,23-09-2023,NEC Nijmegen,3 - 0,Utrecht
2420,30-09-2023,Utrecht,0 - 2,Almere City FC
2421,06-10-2023,FC Volendam,1 - 0,Utrecht
2422,22-10-2023,Utrecht,4 - 3,Ajax
2423,28-10-2023,Fortuna Sittard,0 - 0,Utrecht
2424,05-11-2023,Utrecht,1 - 1,Twente
2425,12-11-2023,Utrecht,2 - 2,Excelsior
2426,26-11-2023,Sparta Rotterdam,1 - 2,Utrecht
2427,03-12-2023,Utrecht,1 - 1,AZ Alkmaar
2428,10-12-2023,GO Ahead Eagles,0 - 2,Utrecht
2429,16-12-2023,Utrecht,1 - 1,Waalwijk
2430,14-01-2024,Vitesse,0 - 0,Utrecht
2431,21-01-2024,Utrecht,? - ?,PSV Eindhoven
2432,11-08-2023,FC Volendam,1 - 2,Vitesse
2433,19-08-2023,Vitesse,1 - 3,PSV Eindhoven
2434,03-09-2023,Vitesse,0 - 2,AZ Alkmaar
2435,16-09-2023,Vitesse,0 - 2,Waalwijk
2436,24-09-2023,Sparta Rotterdam,1 - 0,Vitesse
2437,27-09-2023,Twente,1 - 0,Vitesse
2438,01-10-2023,NEC Nijmegen,1 - 3,Vitesse
2439,07-10-2023,Vitesse,0 - 0,Excelsior
2440,21-10-2023,Feyenoord,4 - 0,Vitesse
2441,27-10-2023,Vitesse,1 - 1,Zwolle
2442,04-11-2023,GO Ahead Eagles,5 - 1,Vitesse
2443,11-11-2023,Vitesse,1 - 3,Heerenveen
2444,25-11-2023,Ajax,5 - 0,Vitesse
2445,02-12-2023,Fortuna Sittard,3 - 1,Vitesse
2446,10-12-2023,Vitesse,2 - 0,Heracles
2447,17-12-2023,Almere City FC,5 - 0,Vitesse
2448,14-01-2024,Vitesse,0 - 0,Utrecht
2449,21-01-2024,Vitesse,? - ?,Feyenoord
2450,12-08-2023,Heerenveen,3 - 1,Waalwijk
2451,20-08-2023,Waalwijk,1 - 3,AZ Alkmaar
2452,26-08-2023,NEC Nijmegen,3 - 0,Waalwijk
2453,02-09-2023,Waalwijk,0 - 4,PSV Eindhoven
2454,16-09-2023,Vitesse,0 - 2,Waalwijk
2455,24-09-2023,Waalwijk,1 - 0,Twente
2456,07-10-2023,Almere City FC,1 - 0,Waalwijk
2457,21-10-2023,Waalwijk,2 - 1,FC Volendam
2458,28-10-2023,Sparta Rotterdam,2 - 0,Waalwijk
2459,04-11-2023,Waalwijk,1 - 2,Feyenoord
2460,11-11-2023,Waalwijk,0 - 1,GO Ahead Eagles
2461,25-11-2023,Zwolle,1 - 2,Waalwijk
2462,02-12-2023,Waalwijk,2 - 2,Excelsior
2463,06-12-2023,Waalwijk,2 - 3,Ajax
2464,10-12-2023,Fortuna Sittard,1 - 0,Waalwijk
2465,16-12-2023,Utrecht,1 - 1,Waalwijk
2466,12-01-2024,Waalwijk,1 - 2,Heracles
2467,21-01-2024,Ajax,? - ?,Waalwijk
2468,12-08-2023,Zwolle,1 - 2,Sparta Rotterdam
2469,20-08-2023,Twente,3 - 1,Zwolle
2470,27-08-2023,Zwolle,1 - 0,Utrecht
2471,02-09-2023,Almere City FC,1 - 2,Zwolle
2472,17-09-2023,Zwolle,1 - 1,GO Ahead Eagles
2473,24-09-2023,Zwolle,0 - 3,AZ Alkmaar
2474,01-10-2023,Heracles,2 - 1,Zwolle
2475,08-10-2023,Zwolle,0 - 2,Feyenoord
2476,22-10-2023,Excelsior,2 - 4,Zwolle
2477,27-10-2023,Vitesse,1 - 1,Zwolle
2478,05-11-2023,Zwolle,2 - 0,Fortuna Sittard
2479,12-11-2023,PSV Eindhoven,4 - 0,Zwolle
2480,25-11-2023,Zwolle,1 - 2,Waalwijk
2481,02-12-2023,FC Volendam,0 - 5,Zwolle
2482,09-12-2023,Zwolle,1 - 3,NEC Nijmegen
2483,17-12-2023,Ajax,2 - 2,Zwolle
2484,13-01-2024,Zwolle,2 - 2,Heerenveen
2485,20-01-2024,AZ Alkmaar,? - ?,Zwolle
2486,13-08-2023,Arouca,4 - 3,Estoril
2487,20-08-2023,Vizela,2 - 2,Arouca
2488,26-08-2023,Arouca,1 - 1,Portimonense SC
2489,03-09-2023,Porto,1 - 1,Arouca
2490,17-09-2023,Arouca,0 - 1,Casa Pia
2491,22-09-2023,FC Famalicão,1 - 0,Arouca
2492,01-10-2023,Arouca,0 - 2,Chaves
2493,08-10-2023,Sp Lisbon,2 - 1,Arouca
2494,27-10-2023,Arouca,0 - 1,Moreirense
2495,06-11-2023,Farense,2 - 0,Arouca
2496,12-11-2023,Arouca,0 - 1,Sp Braga
2497,03-12-2023,Boavista,0 - 4,Arouca
2498,10-12-2023,Arouca,2 - 2,Rio Ave
2499,16-12-2023,Arouca,3 - 0,Gil Vicente
2500,28-12-2023,Estrela,1 - 4,Arouca
2501,06-01-2024,Arouca,0 - 3,Benfica
2502,15-01-2024,Guimaraes,2 - 1,Arouca
2503,20-01-2024,Estoril,? - ?,Arouca
2504,14-08-2023,Boavista,3 - 2,Benfica
2505,19-08-2023,Benfica,2 - 0,Estrela
2506,26-08-2023,Gil Vicente,2 - 3,Benfica
2507,02-09-2023,Benfica,4 - 0,Guimaraes
2508,16-09-2023,Vizela,1 - 2,Benfica
2509,24-09-2023,Portimonense SC,1 - 3,Benfica
2510,29-09-2023,Benfica,1 - 0,Porto
2511,07-10-2023,Estoril,0 - 1,Benfica
2512,28-10-2023,Benfica,1 - 1,Casa Pia
2513,04-11-2023,Chaves,0 - 2,Benfica
2514,12-11-2023,Benfica,2 - 1,Sp Lisbon
2515,03-12-2023,Moreirense,0 - 0,Benfica
2516,08-12-2023,Benfica,1 - 1,Farense
2517,17-12-2023,Sp Braga,0 - 1,Benfica
2518,29-12-2023,Benfica,3 - 0,FC Famalicão
2519,06-01-2024,Arouca,0 - 3,Benfica
2520,14-01-2024,Benfica,4 - 1,Rio Ave
2521,19-01-2024,Benfica,? - ?,Boavista
2522,14-08-2023,Boavista,3 - 2,Benfica
2523,19-08-2023,Portimonense SC,1 - 4,Boavista
2524,27-08-2023,Boavista,1 - 1,Casa Pia
2525,03-09-2023,Estoril,1 - 2,Boavista
2526,18-09-2023,Boavista,4 - 1,Chaves
2527,24-09-2023,Sp Braga,4 - 1,Boavista
2528,30-09-2023,Boavista,2 - 2,FC Famalicão
2529,06-10-2023,Moreirense,1 - 1,Boavista
2530,30-10-2023,Boavista,0 - 2,Sp Lisbon
2531,05-11-2023,Rio Ave,2 - 0,Boavista
2532,12-11-2023,Boavista,1 - 3,Farense
2533,03-12-2023,Boavista,0 - 4,Arouca
2534,10-12-2023,Estrela,3 - 1,Boavista
2535,16-12-2023,Boavista,1 - 1,Guimaraes
2536,30-12-2023,Gil Vicente,1 - 0,Boavista
2537,05-01-2024,Boavista,1 - 1,Porto
2538,14-01-2024,Vizela,1 - 4,Boavista
2539,19-01-2024,Benfica,? - ?,Boavista
2540,12-08-2023,Farense,0 - 3,Casa Pia
2541,18-08-2023,Casa Pia,1 - 2,Sp Lisbon
2542,27-08-2023,Boavista,1 - 1,Casa Pia
2543,02-09-2023,Casa Pia,1 - 1,Rio Ave
2544,17-09-2023,Arouca,0 - 1,Casa Pia
2545,23-09-2023,Casa Pia,0 - 0,Guimaraes
2546,02-10-2023,Gil Vicente,2 - 0,Casa Pia
2547,08-10-2023,Casa Pia,0 - 1,Estrela
